"","ROI","p_2min2","p_totcog2","r1","r2","direct","indirect","total"
"5","lh_temporal",1,1,"0.0181***","1.4543***","0.2279***","0.0263**","0.2542***"
"7","rh_occipital",1,0.99925,"0.0216***","0.7994*","0.2370***","0.0173**","0.2542***"
"10","rh_temporal",1,1,"0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
"2","lh_occipital",0.999916666666667,0.99975,"0.0186***","1.0367**","0.2349***","0.0193*","0.2542***"
"8","rh_parietal",0.99975,0.990166666666667,"0.0153**","0.6066 ","0.2449***","0.0093.","0.2542***"
"3","lh_parietal",0.999416666666667,0.996416666666667,"0.0150**","0.7393*","0.2431***","0.0111*","0.2542***"
"1","lh_frontal",0.952,0.930416666666667,"0.0057 ","0.2987 ","0.2525***","0.0017 ","0.2542***"
"4","lh_subcortical",0.933583333333333,0.8365,"0.0056 ","0.3137 ","0.2525***","0.0017 ","0.2542***"
"6","rh_frontal",0.928583333333333,0.853,"0.0045 ","0.1742 ","0.2534***","0.0008 ","0.2542***"
"9","rh_subcortical",0.88325,0.839833333333333,"0.0038 ","0.3368 ","0.2529***","0.0013 ","0.2542***"
