"","ROI1","p_2min1","pvalue","p_ravlt1","p_flanker1","ROI_lvl1","ROI_lvl2"
"16","lh_occipital_lh_lateraloccipital",1,1,NA,0.997333333333333,"lh_lateraloccipital","lh_occipital"
"17","lh_occipital_lh_lingual",1,0.999916666666667,NA,0.996583333333333,"lh_lingual","lh_occipital"
"18","lh_occipital_lh_pericalcarine",1,0.999916666666667,NA,0.993083333333333,"lh_pericalcarine","lh_occipital"
"37","lh_temporal_lh_inferiortemporal",1,NA,NA,0.998833333333333,"lh_inferiortemporal","lh_temporal"
"38","lh_temporal_lh_middletemporal",1,0.998166666666667,NA,0.998666666666667,"lh_middletemporal","lh_temporal"
"40","lh_temporal_lh_superiortemporal",1,0.999666666666667,NA,0.999416666666667,"lh_superiortemporal","lh_temporal"
"57","rh_occipital_rh_cuneus",1,0.998083333333333,0.991666666666667,NA,"rh_cuneus","rh_occipital"
"58","rh_occipital_rh_lateraloccipital",1,0.999916666666667,0.99625,NA,"rh_lateraloccipital","rh_occipital"
"59","rh_occipital_rh_lingual",1,0.999833333333333,0.995166666666667,0.990583333333333,"rh_lingual","rh_occipital"
"60","rh_occipital_rh_pericalcarine",1,0.9965,NA,NA,"rh_pericalcarine","rh_occipital"
"61","rh_occipital_rh_precuneus_parietal",1,0.99475,0.990083333333333,NA,"rh_precuneus_parietal","rh_occipital"
"76","rh_temporal_rh_bankssts",1,0.997416666666667,NA,0.998166666666667,"rh_bankssts","rh_temporal"
"77","rh_temporal_rh_entorhinal",1,0.998166666666667,NA,0.99975,"rh_entorhinal","rh_temporal"
"78","rh_temporal_rh_fusiform",1,0.999,NA,0.99975,"rh_fusiform","rh_temporal"
"79","rh_temporal_rh_inferiortemporal",1,0.998666666666667,NA,0.999,"rh_inferiortemporal","rh_temporal"
"80","rh_temporal_rh_middletemporal",1,NA,NA,0.997583333333333,"rh_middletemporal","rh_temporal"
"83","rh_temporal_rh_temporalpole",1,1,0.996166666666667,1,"rh_temporalpole","rh_temporal"
"34","lh_temporal_lh_bankssts",0.999916666666667,0.9965,NA,0.99875,"lh_bankssts","lh_temporal"
"41","lh_temporal_lh_temporalpole",0.999916666666667,1,0.993666666666667,0.999833333333333,"lh_temporalpole","lh_temporal"
"82","rh_temporal_rh_superiortemporal",0.999916666666667,0.999666666666667,NA,0.999,"rh_superiortemporal","rh_temporal"
"84","rh_temporal_rh_transversetemporal",0.999916666666667,1,0.990833333333333,0.998083333333333,"rh_transversetemporal","rh_temporal"
"19","lh_occipital_lh_precuneus_parietal",0.999833333333333,0.99825,NA,NA,"lh_precuneus_parietal","lh_occipital"
