"","ROI","pvalue_2min","pvalue_RAVLT","pvalue_COG","pvalue_Flanker","ROI_LVL2"
"1","rh_insula",0.999166666666667,NA,0.997166666666667,0.991416666666667,"frontal"
"2","lh_precentral",0.99875,NA,NA,NA,"frontal"
"3","lh_insula",0.99825,NA,0.997416666666667,NA,"frontal"
"4","lh_lateralorbitofrontal",0.995416666666667,NA,0.9925,0.995416666666667,"frontal"
"5","lh_caudalanteriorcingulate",0.993833333333333,NA,NA,0.990583333333333,"frontal"
"6","rh_parsopercularis",0.99275,NA,NA,NA,"frontal"
"7","lh_caudalmiddlefrontal",0.990083333333333,NA,NA,NA,"frontal"
"8","lh_frontalpole",NA,NA,NA,NA,"frontal"
"9","lh_medialorbitofrontal",NA,NA,NA,NA,"frontal"
"10","lh_paracentral",NA,NA,NA,NA,"frontal"
"11","lh_parsopercularis",NA,NA,NA,NA,"frontal"
"12","lh_parsorbitalis",NA,NA,0.99925,0.994666666666667,"frontal"
"13","lh_parstriangularis",NA,NA,NA,NA,"frontal"
"14","lh_rostralanteriorcingulate",NA,NA,NA,NA,"frontal"
"15","lh_rostralmiddlefrontal",NA,NA,NA,NA,"frontal"
"16","lh_superiorfrontal",NA,NA,NA,NA,"frontal"
"17","rh_caudalanteriorcingulate",NA,NA,NA,NA,"frontal"
"18","rh_caudalmiddlefrontal",NA,NA,NA,NA,"frontal"
"19","rh_frontalpole",NA,NA,NA,NA,"frontal"
"20","rh_lateralorbitofrontal",NA,NA,0.997416666666667,0.997416666666667,"frontal"
"21","rh_medialorbitofrontal",NA,NA,NA,NA,"frontal"
"22","rh_paracentral",NA,NA,NA,NA,"frontal"
"23","rh_parsorbitalis",NA,NA,NA,NA,"frontal"
"24","rh_parstriangularis",NA,NA,NA,NA,"frontal"
"25","rh_precentral",NA,NA,NA,NA,"frontal"
"26","rh_rostralanteriorcingulate",NA,NA,NA,NA,"frontal"
"27","rh_rostralmiddlefrontal",NA,NA,NA,NA,"frontal"
"28","rh_superiorfrontal",NA,NA,NA,NA,"frontal"
"29","lh_lateraloccipital",1,NA,0.999916666666667,0.997083333333333,"occipital"
"30","lh_lingual",1,NA,1,0.99725,"occipital"
"31","rh_lingual",0.999916666666667,0.992,1,0.995833333333333,"occipital"
"32","lh_pericalcarine",0.999833333333333,NA,0.999166666666667,NA,"occipital"
"33","rh_precuneus_parietal",0.999833333333333,NA,NA,NA,"occipital"
"34","rh_lateraloccipital",0.999666666666667,0.994833333333333,0.999666666666667,NA,"occipital"
"35","rh_pericalcarine",0.99875,NA,NA,NA,"occipital"
"36","lh_precuneus_parietal",0.998666666666667,NA,0.993583333333333,NA,"occipital"
"37","rh_cuneus",0.997916666666667,NA,0.997916666666667,NA,"occipital"
"38","lh_cuneus",NA,NA,NA,NA,"occipital"
"39","lh_postcentral",0.99975,NA,0.999916666666667,NA,"parietal"
"40","rh_supramarginal",0.9995,NA,0.997,NA,"parietal"
"41","lh_inferiorparietal",0.997416666666667,NA,NA,NA,"parietal"
"42","rh_inferiorparietal",0.99725,NA,NA,NA,"parietal"
"43","rh_isthmuscingulate",0.997,NA,NA,0.99125,"parietal"
