"","ROI_lvl2","p_2min1","pvalue","r1","r2","direct","indirect","total"
"1","lh_frontal",0.996,0.988666666666667,"0.0133*","0.9031**","0.2422***","0.0120*","0.2542***"
"2","lh_frontal",0.988083333333333,0.976916666666667,"0.0133*","0.9031**","0.2422***","0.0120*","0.2542***"
"3","lh_occipital",1,1,"0.0186***","1.0367**","0.2349***","0.0193*","0.2542***"
"4","lh_occipital",1,0.999916666666667,"0.0186***","1.0367**","0.2349***","0.0193*","0.2542***"
"5","lh_occipital",1,0.999916666666667,"0.0186***","1.0367**","0.2349***","0.0193*","0.2542***"
"6","lh_occipital",0.999833333333333,0.99825,"0.0186***","1.0367**","0.2349***","0.0193*","0.2542***"
"7","lh_occipital",0.999333333333333,0.997666666666667,"0.0186***","1.0367**","0.2349***","0.0193*","0.2542***"
"8","lh_parietal",0.999833333333333,1,"0.0151**","0.8864*","0.2408***","0.0134*","0.2542***"
"9","lh_parietal",0.999583333333333,0.989166666666667,"0.0151**","0.8864*","0.2408***","0.0134*","0.2542***"
"10","lh_parietal",0.99875,0.972166666666667,"0.0151**","0.8864*","0.2408***","0.0134*","0.2542***"
"11","lh_parietal",0.997583333333333,0.975583333333333,"0.0151**","0.8864*","0.2408***","0.0134*","0.2542***"
"12","lh_parietal",0.999333333333333,0.998166666666667,"0.0151**","0.8864*","0.2408***","0.0134*","0.2542***"
"13","lh_subcortical",0.993666666666667,0.971416666666667,"0.0149*","0.4149 ","0.2480***","0.0062 ","0.2542***"
"14","lh_temporal",1,0.989833333333333,"0.0181***","1.4543***","0.2279***","0.0263***","0.2542***"
"15","lh_temporal",1,0.999666666666667,"0.0181***","1.4543***","0.2279***","0.0263***","0.2542***"
"16","lh_temporal",0.999833333333333,0.99925,"0.0181***","1.4543***","0.2279***","0.0263***","0.2542***"
"17","lh_temporal",1,0.998166666666667,"0.0181***","1.4543***","0.2279***","0.0263***","0.2542***"
"18","lh_temporal",0.99875,1,"0.0181***","1.4543***","0.2279***","0.0263***","0.2542***"
"19","lh_temporal",0.999833333333333,0.983583333333333,"0.0181***","1.4543***","0.2279***","0.0263***","0.2542***"
"20","lh_temporal",0.999833333333333,1,"0.0181***","1.4543***","0.2279***","0.0263***","0.2542***"
"21","lh_temporal",0.999916666666667,0.9965,"0.0181***","1.4543***","0.2279***","0.0263***","0.2542***"
"22","lh_temporal",0.999916666666667,1,"0.0181***","1.4543***","0.2279***","0.0263***","0.2542***"
"23","rh_frontal",0.994083333333333,0.983166666666667,"0.0159**","0.8558**","0.2406***","0.0136**","0.2542***"
"24","rh_occipital",1,0.999916666666667,"0.0216***","0.7994*","0.2370***","0.0173***","0.2542***"
"25","rh_occipital",1,0.998083333333333,"0.0216***","0.7994*","0.2370***","0.0173***","0.2542***"
"26","rh_occipital",1,0.999833333333333,"0.0216***","0.7994*","0.2370***","0.0173***","0.2542***"
"27","rh_occipital",1,0.9965,"0.0216***","0.7994*","0.2370***","0.0173***","0.2542***"
"28","rh_occipital",1,0.99475,"0.0216***","0.7994*","0.2370***","0.0173***","0.2542***"
"29","rh_parietal",0.99975,0.996083333333333,"0.0161**","0.7245.","0.2425***","0.0117.","0.2542***"
"30","rh_parietal",0.99975,0.989583333333333,"0.0161**","0.7245.","0.2425***","0.0117.","0.2542***"
"31","rh_parietal",0.999416666666667,0.951166666666667,"0.0161**","0.7245.","0.2425***","0.0117.","0.2542***"
"32","rh_parietal",0.999666666666667,0.979666666666667,"0.0161**","0.7245.","0.2425***","0.0117.","0.2542***"
"33","rh_parietal",0.99575,0.9885,"0.0161**","0.7245.","0.2425***","0.0117.","0.2542***"
"34","rh_subcortical",0.990583333333333,0.965333333333333,"0.0152*","0.3645 ","0.2487***","0.0056 ","0.2542***"
"35","rh_temporal",1,1,"0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
"36","rh_temporal",0.999916666666667,1,"0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
"37","rh_temporal",1,0.999,"0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
"38","rh_temporal",1,0.998666666666667,"0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
"39","rh_temporal",1,0.985416666666667,"0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
"40","rh_temporal",1,0.997416666666667,"0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
"41","rh_temporal",1,0.998166666666667,"0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
"42","rh_temporal",0.9995,0.999833333333333,"0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
"43","rh_temporal",0.999916666666667,0.999666666666667,"0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
