"","ROI_lvl2","r1","r2","direct","indirect","total"
"1","lh_occipital","0.0186***","1.0367**","0.2349***","0.0193*","0.2542***"
"2","lh_temporal","0.0181***","1.4543***","0.2279***","0.0263***","0.2542***"
"3","rh_occipital","0.0216***","0.7994*","0.2370***","0.0173***","0.2542***"
"4","rh_temporal","0.0193***","1.3268***","0.2286***","0.0256***","0.2542***"
"5","lh_parietal","0.0151**","0.8864*","0.2408***","0.0134*","0.2542***"
"6","rh_parietal","0.0161**","0.7245.","0.2425***","0.0117.","0.2542***"
"7","lh_frontal","0.0133*","0.9031**","0.2422***","0.0120*","0.2542***"
"8","rh_frontal","0.0159**","0.8558**","0.2406***","0.0136**","0.2542***"
"9","lh_subcortical","0.0149*","0.4149 ","0.2480***","0.0062 ","0.2542***"
"10","rh_subcortical","0.0152*","0.3645 ","0.2487***","0.0056 ","0.2542***"
