"","ROI","p_2min2","p_flanker2","r1","r2","direct","indirect","total"
"5","lh_temporal",1,0.999666666666667,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"7","rh_occipital",1,0.985416666666667,"0.0216***","0.5108 ","0.1990***","0.0110 ","0.2100***"
"10","rh_temporal",1,0.999583333333333,"0.0191***","1.2570**","0.1860***","0.0240***","0.2100***"
"2","lh_occipital",0.999916666666667,0.995166666666667,"0.0187***","0.7536*","0.1959***","0.0141.","0.2100***"
"8","rh_parietal",0.99975,0.984583333333333,"0.0155**","0.6720.","0.1996***","0.0104.","0.2100***"
"3","lh_parietal",0.999416666666667,0.962,"0.0150**","0.4777 ","0.2028***","0.0072 ","0.2100***"
"1","lh_frontal",0.952,0.945833333333333,"0.0057 ","0.4775 ","0.2073***","0.0027 ","0.2100***"
"4","lh_subcortical",0.933583333333333,0.637416666666667,"0.0053 ","0.3003 ","0.2084***","0.0016 ","0.2100***"
"6","rh_frontal",0.928583333333333,0.8625,"0.0046 ","0.3596 ","0.2083***","0.0017 ","0.2100***"
"9","rh_subcortical",0.88325,0.644416666666667,"0.0036 ","0.3553 ","0.2087***","0.0013 ","0.2100***"
