"","ROI1","p_2min1","pvalue","p_ravlt1","p_flanker1"
"1","lh_frontal_lh_caudalanteriorcingulate",0.90725,0.939666666666667,0.921166666666667,0.96075
"2","lh_frontal_lh_caudalmiddlefrontal",0.98025,0.757083333333333,0.793583333333333,0.84125
"3","lh_frontal_lh_frontalpole",0.749,0.525916666666667,0.721833333333333,0.9065
"4","lh_frontal_lh_insula",0.996,0.988666666666667,0.926833333333333,0.967083333333333
"5","lh_frontal_lh_lateralorbitofrontal",0.988083333333333,0.976916666666667,0.885,0.9705
"6","lh_frontal_lh_medialorbitofrontal",0.536833333333333,0.236333333333333,0.570833333333333,0.938583333333333
"7","lh_frontal_lh_paracentral",0.96325,0.91,0.84725,0.836166666666667
"8","lh_frontal_lh_parsopercularis",0.936,0.7195,0.768666666666667,0.84075
"9","lh_frontal_lh_parsorbitalis",0.92325,0.996583333333333,0.931416666666667,0.965916666666667
"10","lh_frontal_lh_parstriangularis",0.92125,0.764833333333333,0.777416666666667,0.921666666666667
"11","lh_frontal_lh_precentral",0.994416666666667,0.82975,0.884,0.836416666666667
"12","lh_frontal_lh_rostralanteriorcingulate",0.670166666666667,0.89675,0.788666666666667,0.95225
"13","lh_frontal_lh_rostralmiddlefrontal",0.946583333333333,0.811166666666667,0.82175,0.9035
"14","lh_frontal_lh_superiorfrontal",0.81675,0.615666666666667,0.80275,0.855916666666667
"15","lh_occipital_lh_cuneus",0.999333333333333,0.997666666666667,0.90625,0.98625
"16","lh_occipital_lh_lateraloccipital",1,1,0.978833333333333,0.997333333333333
"17","lh_occipital_lh_lingual",1,0.999916666666667,0.979083333333333,0.996583333333333
"18","lh_occipital_lh_pericalcarine",1,0.999916666666667,0.930166666666667,0.993083333333333
"19","lh_occipital_lh_precuneus_parietal",0.999833333333333,0.99825,0.9355,0.989166666666667
"20","lh_parietal_lh_inferiorparietal",0.999583333333333,0.989166666666667,0.915666666666667,0.944333333333333
"21","lh_parietal_lh_isthmuscingulate",0.997583333333333,0.975583333333333,0.826833333333333,0.960833333333333
"22","lh_parietal_lh_postcentral",0.999833333333333,1,0.937583333333333,0.930916666666667
"23","lh_parietal_lh_posteriorcingulate",0.998833333333333,0.85575,0.853916666666667,0.932583333333333
"24","lh_parietal_lh_superiorparietal",0.99875,0.972166666666667,0.883833333333333,0.909333333333333
"25","lh_parietal_lh_supramarginal",0.999333333333333,0.998166666666667,0.9065,0.953916666666667
"26","lh_subcortical_lh_Accumbens.area",0.715416666666667,0.793583333333333,0.9615,0.605916666666667
"27","lh_subcortical_lh_Amygdala",0.997083333333333,0.805333333333333,0.977916666666667,0.6755
"28","lh_subcortical_lh_Caudate",0.05175,0.606333333333333,0.835916666666667,0.510166666666667
"29","lh_subcortical_lh_Hippocampus",0.993666666666667,0.971416666666667,0.987166666666667,0.740083333333333
"30","lh_subcortical_lh_Pallidum",0.947333333333333,0.424166666666667,0.946416666666667,0.52225
"31","lh_subcortical_lh_Putamen",0.79075,0.3875,0.90225,0.63775
"32","lh_subcortical_lh_Thalamus.Proper",0.903583333333333,0.85875,0.916583333333333,0.586916666666667
"33","lh_subcortical_lh_VentralDC",0.98775,0.886666666666667,0.9405,0.670583333333333
"34","lh_temporal_lh_bankssts",0.999916666666667,0.9965,0.95425,0.99875
"35","lh_temporal_lh_entorhinal",0.999833333333333,0.983583333333333,0.974916666666667,0.998916666666667
"36","lh_temporal_lh_fusiform",0.999833333333333,0.99925,0.944833333333333,0.9975
"37","lh_temporal_lh_inferiortemporal",1,0.989833333333333,0.968916666666667,0.998833333333333
"38","lh_temporal_lh_middletemporal",1,0.998166666666667,0.983333333333333,0.998666666666667
"39","lh_temporal_lh_parahippocampal",0.99875,1,0.990666666666667,0.99975
"40","lh_temporal_lh_superiortemporal",1,0.999666666666667,0.985916666666667,0.999416666666667
"41","lh_temporal_lh_temporalpole",0.999916666666667,1,0.993666666666667,0.999833333333333
"42","lh_temporal_lh_transversetemporal",0.999833333333333,1,0.984416666666667,0.999916666666667
"43","rh_frontal_rh_caudalanteriorcingulate",0.601416666666667,0.308,0.860666666666667,0.837666666666667
"44","rh_frontal_rh_caudalmiddlefrontal",0.96325,0.610916666666667,0.853333333333333,0.703
"45","rh_frontal_rh_frontalpole",0.82075,0.732916666666667,0.889416666666667,0.830083333333333
"46","rh_frontal_rh_insula",0.994083333333333,0.983166666666667,0.945166666666667,0.92075
"47","rh_frontal_rh_lateralorbitofrontal",0.916166666666667,0.988583333333333,0.935916666666667,0.940333333333333
"48","rh_frontal_rh_medialorbitofrontal",0.242666666666667,0.3275,0.6465,0.842
"49","rh_frontal_rh_paracentral",0.9295,0.654083333333333,0.897,0.701916666666667
"50","rh_frontal_rh_parsopercularis",0.978166666666667,0.753083333333333,0.82675,0.74375
"51","rh_frontal_rh_parsorbitalis",0.711416666666667,0.960583333333333,0.838916666666667,0.816833333333333
"52","rh_frontal_rh_parstriangularis",0.953666666666667,0.891166666666667,0.853833333333333,0.831333333333333
"53","rh_frontal_rh_precentral",0.974333333333333,0.548833333333333,0.88375,0.757916666666667
"54","rh_frontal_rh_rostralanteriorcingulate",0.603416666666667,0.545583333333333,0.874333333333333,0.888916666666667
"55","rh_frontal_rh_rostralmiddlefrontal",0.90525,0.533083333333333,0.80925,0.829166666666667
"56","rh_frontal_rh_superiorfrontal",0.86,0.597333333333333,0.90975,0.79675
"57","rh_occipital_rh_cuneus",1,0.998083333333333,0.991666666666667,0.971333333333333
"58","rh_occipital_rh_lateraloccipital",1,0.999916666666667,0.99625,0.986583333333333
"59","rh_occipital_rh_lingual",1,0.999833333333333,0.995166666666667,0.990583333333333
"60","rh_occipital_rh_pericalcarine",1,0.9965,0.97325,0.9605
"61","rh_occipital_rh_precuneus_parietal",1,0.99475,0.990083333333333,0.966583333333333
