"","ROI_lvl2","p_2min1","pvalue","ROI_lvl1","r1","r2","direct","indirect","total"
"1","lh_occipital",1,1,"lh_lateraloccipital","0.0186***","1.0367**","0.2349***","0.0193**","0.2542***"
"2","lh_occipital",1,0.999916666666667,"lh_lingual","0.0186***","1.0367**","0.2349***","0.0193**","0.2542***"
"3","lh_occipital",1,0.999916666666667,"lh_pericalcarine","0.0186***","1.0367**","0.2349***","0.0193**","0.2542***"
"4","lh_occipital",0.999833333333333,0.99825,"lh_precuneus_parietal","0.0186***","1.0367**","0.2349***","0.0193**","0.2542***"
"5","lh_occipital",0.999333333333333,0.997666666666667,"lh_cuneus","0.0186***","1.0367**","0.2349***","0.0193**","0.2542***"
"6","lh_parietal",0.999833333333333,1,"lh_postcentral","0.0173**","0.9553**","0.2377***","0.0165**","0.2542***"
"7","lh_parietal",0.999333333333333,0.998166666666667,"lh_supramarginal","0.0173**","0.9553**","0.2377***","0.0165**","0.2542***"
"8","lh_temporal",1,0.999666666666667,"lh_superiortemporal","0.0179***","1.5871***","0.2258***","0.0284***","0.2542***"
"9","lh_temporal",0.999833333333333,1,"lh_transversetemporal","0.0179***","1.5871***","0.2258***","0.0284***","0.2542***"
"10","lh_temporal",1,0.998166666666667,"lh_middletemporal","0.0179***","1.5871***","0.2258***","0.0284***","0.2542***"
"11","lh_temporal",0.999916666666667,1,"lh_temporalpole","0.0179***","1.5871***","0.2258***","0.0284***","0.2542***"
"12","lh_temporal",0.999833333333333,0.99925,"lh_fusiform","0.0179***","1.5871***","0.2258***","0.0284***","0.2542***"
"13","lh_temporal",0.999916666666667,0.9965,"lh_bankssts","0.0179***","1.5871***","0.2258***","0.0284***","0.2542***"
"14","lh_temporal",0.99875,1,"lh_parahippocampal","0.0179***","1.5871***","0.2258***","0.0284***","0.2542***"
"15","rh_occipital",1,0.999916666666667,"rh_lateraloccipital","0.0216***","0.7994*","0.2370***","0.0173*","0.2542***"
"16","rh_occipital",1,0.9965,"rh_pericalcarine","0.0216***","0.7994*","0.2370***","0.0173*","0.2542***"
"17","rh_occipital",1,0.998083333333333,"rh_cuneus","0.0216***","0.7994*","0.2370***","0.0173*","0.2542***"
"18","rh_occipital",1,0.99475,"rh_precuneus_parietal","0.0216***","0.7994*","0.2370***","0.0173*","0.2542***"
"19","rh_occipital",1,0.999833333333333,"rh_lingual","0.0216***","0.7994*","0.2370***","0.0173*","0.2542***"
"20","rh_parietal",0.99975,0.996083333333333,"rh_supramarginal","0.0166**","0.6708*","0.2431***","0.0111*","0.2542***"
"21","rh_temporal",1,0.997416666666667,"rh_bankssts","0.0200***","1.4769***","0.2247***","0.0295***","0.2542***"
"22","rh_temporal",1,0.999,"rh_fusiform","0.0200***","1.4769***","0.2247***","0.0295***","0.2542***"
"23","rh_temporal",1,1,"rh_temporalpole","0.0200***","1.4769***","0.2247***","0.0295***","0.2542***"
"24","rh_temporal",0.9995,0.999833333333333,"rh_parahippocampal","0.0200***","1.4769***","0.2247***","0.0295***","0.2542***"
"25","rh_temporal",1,0.998666666666667,"rh_inferiortemporal","0.0200***","1.4769***","0.2247***","0.0295***","0.2542***"
"26","rh_temporal",0.999916666666667,1,"rh_transversetemporal","0.0200***","1.4769***","0.2247***","0.0295***","0.2542***"
"27","rh_temporal",1,0.998166666666667,"rh_entorhinal","0.0200***","1.4769***","0.2247***","0.0295***","0.2542***"
"28","rh_temporal",0.999916666666667,0.999666666666667,"rh_superiortemporal","0.0200***","1.4769***","0.2247***","0.0295***","0.2542***"
