"","ROI_lvl2","ROI_lvl1","p_2min1","p_flanker1","r1","r2","direct","indirect","total"
"1","lh_occipital","lh_lateraloccipital",1,0.997333333333333,"0.0216***","0.8220*","0.1922***","0.0178**","0.2100***"
"2","lh_occipital","lh_lingual",1,0.996583333333333,"0.0216***","0.8220*","0.1922***","0.0178**","0.2100***"
"3","lh_occipital","lh_pericalcarine",1,0.993083333333333,"0.0216***","0.8220*","0.1922***","0.0178**","0.2100***"
"4","lh_temporal","lh_inferiortemporal",1,0.998833333333333,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"5","lh_temporal","lh_middletemporal",1,0.998666666666667,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"6","lh_temporal","lh_superiortemporal",1,0.999416666666667,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"7","lh_temporal","lh_temporalpole",0.999916666666667,0.999833333333333,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"8","lh_temporal","lh_transversetemporal",0.999833333333333,0.999916666666667,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"9","lh_temporal","lh_bankssts",0.999916666666667,0.99875,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"10","lh_temporal","lh_fusiform",0.999833333333333,0.9975,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"11","lh_temporal","lh_entorhinal",0.999833333333333,0.998916666666667,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"12","lh_temporal","lh_parahippocampal",0.99875,0.99975,"0.0178***","1.3037**","0.1868***","0.0232**","0.2100***"
"13","rh_occipital","rh_lingual",1,0.990583333333333,"0.0277***","0.5059.","0.1960***","0.0140.","0.2100***"
"14","rh_temporal","rh_entorhinal",1,0.99975,"0.0191***","1.2570**","0.1860***","0.0240**","0.2100***"
"15","rh_temporal","rh_bankssts",1,0.998166666666667,"0.0191***","1.2570**","0.1860***","0.0240**","0.2100***"
"16","rh_temporal","rh_temporalpole",1,1,"0.0191***","1.2570**","0.1860***","0.0240**","0.2100***"
"17","rh_temporal","rh_middletemporal",1,0.997583333333333,"0.0191***","1.2570**","0.1860***","0.0240**","0.2100***"
"18","rh_temporal","rh_transversetemporal",0.999916666666667,0.998083333333333,"0.0191***","1.2570**","0.1860***","0.0240**","0.2100***"
"19","rh_temporal","rh_inferiortemporal",1,0.999,"0.0191***","1.2570**","0.1860***","0.0240**","0.2100***"
"20","rh_temporal","rh_superiortemporal",0.999916666666667,0.999,"0.0191***","1.2570**","0.1860***","0.0240**","0.2100***"
"21","rh_temporal","rh_parahippocampal",0.9995,0.999416666666667,"0.0191***","1.2570**","0.1860***","0.0240**","0.2100***"
"22","rh_temporal","rh_fusiform",1,0.99975,"0.0191***","1.2570**","0.1860***","0.0240**","0.2100***"
